timestamp_utc,timestamp_ist,location,current_speed,free_flow_speed,congestion_index,confidence
2026-03-03 07:08:40.142526+00:00,2026-03-03 12:38:40.142526+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 07:08:40.699594+00:00,2026-03-03 12:38:40.699594+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 07:08:40.943518+00:00,2026-03-03 12:38:40.943518+00:00,Market Area,47,47,0.0,1.0
2026-03-03 07:52:35.861441+00:00,2026-03-03 13:22:35.861441+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 07:52:36.406087+00:00,2026-03-03 13:22:36.406087+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 07:52:36.589240+00:00,2026-03-03 13:22:36.589240+00:00,Market Area,47,47,0.0,1.0
2026-03-03 08:27:41.683370+00:00,2026-03-03 13:57:41.683370+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 08:27:42.149421+00:00,2026-03-03 13:57:42.149421+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 08:27:42.273041+00:00,2026-03-03 13:57:42.273041+00:00,Market Area,47,47,0.0,1.0
2026-03-03 09:06:07.745015+00:00,2026-03-03 14:36:07.745015+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 09:06:08.336263+00:00,2026-03-03 14:36:08.336263+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 09:06:08.621718+00:00,2026-03-03 14:36:08.621718+00:00,Market Area,47,47,0.0,1.0
2026-03-03 09:59:11.309494+00:00,2026-03-03 15:29:11.309494+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 09:59:11.726130+00:00,2026-03-03 15:29:11.726130+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 09:59:11.892943+00:00,2026-03-03 15:29:11.892943+00:00,Market Area,47,47,0.0,1.0
2026-03-03 10:38:11.361932+00:00,2026-03-03 16:08:11.361932+00:00,Central Junction,42,48,0.125,0.957893
2026-03-03 10:38:11.752758+00:00,2026-03-03 16:08:11.752758+00:00,MC Road Segment,42,48,0.125,0.957893
2026-03-03 10:38:11.886265+00:00,2026-03-03 16:08:11.886265+00:00,Market Area,47,47,0.0,1.0
2026-03-03 11:18:02.001102+00:00,2026-03-03 16:48:02.001102+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 11:18:02.398288+00:00,2026-03-03 16:48:02.398288+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 11:18:02.547777+00:00,2026-03-03 16:48:02.547777+00:00,Market Area,47,47,0.0,1.0
2026-03-03 11:51:09.209731+00:00,2026-03-03 17:21:09.209731+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 11:51:09.779017+00:00,2026-03-03 17:21:09.779017+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 11:51:09.985893+00:00,2026-03-03 17:21:09.985893+00:00,Market Area,47,47,0.0,1.0
2026-03-03 12:30:36.314146+00:00,2026-03-03 18:00:36.314146+00:00,Central Junction,34,48,0.2916666666666667,0.955417
2026-03-03 12:30:36.934096+00:00,2026-03-03 18:00:36.934096+00:00,MC Road Segment,34,48,0.2916666666666667,0.955417
2026-03-03 12:30:37.240365+00:00,2026-03-03 18:00:37.240365+00:00,Market Area,47,47,0.0,1.0
2026-03-03 13:44:01.871987+00:00,2026-03-03 19:14:01.871987+00:00,Central Junction,40,49,0.1836734693877551,0.942592
2026-03-03 13:44:02.268231+00:00,2026-03-03 19:14:02.268231+00:00,MC Road Segment,40,49,0.1836734693877551,0.942592
2026-03-03 13:44:02.407148+00:00,2026-03-03 19:14:02.407148+00:00,Market Area,47,47,0.0,1.0
2026-03-03 14:28:43.549146+00:00,2026-03-03 19:58:43.549146+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 14:28:44.152179+00:00,2026-03-03 19:58:44.152179+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 14:28:44.384768+00:00,2026-03-03 19:58:44.384768+00:00,Market Area,47,47,0.0,1.0
2026-03-03 15:11:49.126057+00:00,2026-03-03 20:41:49.126057+00:00,Central Junction,33,47,0.2978723404255319,0.926345
2026-03-03 15:11:49.667880+00:00,2026-03-03 20:41:49.667880+00:00,MC Road Segment,33,47,0.2978723404255319,0.926345
2026-03-03 15:11:49.854976+00:00,2026-03-03 20:41:49.854976+00:00,Market Area,47,47,0.0,1.0
2026-03-03 15:59:18.732039+00:00,2026-03-03 21:29:18.732039+00:00,Central Junction,41,48,0.14583333333333334,0.956054
2026-03-03 15:59:19.270914+00:00,2026-03-03 21:29:19.270914+00:00,MC Road Segment,41,48,0.14583333333333334,0.956054
2026-03-03 15:59:19.529601+00:00,2026-03-03 21:29:19.529601+00:00,Market Area,47,47,0.0,1.0
2026-03-03 16:48:25.133330+00:00,2026-03-03 22:18:25.133330+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 16:48:25.525853+00:00,2026-03-03 22:18:25.525853+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 16:48:25.645978+00:00,2026-03-03 22:18:25.645978+00:00,Market Area,47,47,0.0,1.0
2026-03-03 17:34:13.873126+00:00,2026-03-03 23:04:13.873126+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 17:34:14.391676+00:00,2026-03-03 23:04:14.391676+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 17:34:14.577385+00:00,2026-03-03 23:04:14.577385+00:00,Market Area,47,47,0.0,1.0
2026-03-03 18:26:36.793850+00:00,2026-03-03 23:56:36.793850+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 18:26:37.161518+00:00,2026-03-03 23:56:37.161518+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 18:26:37.306273+00:00,2026-03-03 23:56:37.306273+00:00,Market Area,47,47,0.0,1.0
2026-03-03 19:13:25.508258+00:00,2026-03-04 00:43:25.508258+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 19:13:25.969634+00:00,2026-03-04 00:43:25.969634+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 19:13:26.163018+00:00,2026-03-04 00:43:26.163018+00:00,Market Area,47,47,0.0,1.0
2026-03-03 19:50:28.576004+00:00,2026-03-04 01:20:28.576004+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 19:50:29.128805+00:00,2026-03-04 01:20:29.128805+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 19:50:29.292425+00:00,2026-03-04 01:20:29.292425+00:00,Market Area,47,47,0.0,1.0
2026-03-03 20:21:12.577558+00:00,2026-03-04 01:51:12.577558+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 20:21:13.148804+00:00,2026-03-04 01:51:13.148804+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 20:21:13.354509+00:00,2026-03-04 01:51:13.354509+00:00,Market Area,41,47,0.1276595744680851,0.829694
2026-03-03 20:53:29.962833+00:00,2026-03-04 02:23:29.962833+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 20:53:30.430429+00:00,2026-03-04 02:23:30.430429+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 20:53:30.652624+00:00,2026-03-04 02:23:30.652624+00:00,Market Area,47,47,0.0,1.0
2026-03-03 21:22:57.081960+00:00,2026-03-04 02:52:57.081960+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 21:22:57.721699+00:00,2026-03-04 02:52:57.721699+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 21:22:58.003848+00:00,2026-03-04 02:52:58.003848+00:00,Market Area,47,47,0.0,1.0
2026-03-03 21:52:42.323813+00:00,2026-03-04 03:22:42.323813+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 21:52:42.912464+00:00,2026-03-04 03:22:42.912464+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 21:52:43.191964+00:00,2026-03-04 03:22:43.191964+00:00,Market Area,47,47,0.0,1.0
2026-03-03 22:17:10.847625+00:00,2026-03-04 03:47:10.847625+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 22:17:11.475827+00:00,2026-03-04 03:47:11.475827+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 22:17:11.760379+00:00,2026-03-04 03:47:11.760379+00:00,Market Area,47,47,0.0,1.0
2026-03-03 22:50:49.439337+00:00,2026-03-04 04:20:49.439337+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 22:50:49.839960+00:00,2026-03-04 04:20:49.839960+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 22:50:49.975765+00:00,2026-03-04 04:20:49.975765+00:00,Market Area,47,47,0.0,1.0
2026-03-03 23:15:10.101741+00:00,2026-03-04 04:45:10.101741+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 23:15:10.673080+00:00,2026-03-04 04:45:10.673080+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 23:15:10.992204+00:00,2026-03-04 04:45:10.992204+00:00,Market Area,47,47,0.0,1.0
2026-03-03 23:42:22.805091+00:00,2026-03-04 05:12:22.805091+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 23:42:23.348969+00:00,2026-03-04 05:12:23.348969+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 23:42:23.583624+00:00,2026-03-04 05:12:23.583624+00:00,Market Area,47,47,0.0,1.0
2026-03-03 23:58:12.577314+00:00,2026-03-04 05:28:12.577314+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 23:58:13.729616+00:00,2026-03-04 05:28:13.729616+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 23:58:13.969288+00:00,2026-03-04 05:28:13.969288+00:00,Market Area,47,47,0.0,1.0
2026-03-04 01:48:10.253469+00:00,2026-03-04 07:18:10.253469+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 01:48:10.695407+00:00,2026-03-04 07:18:10.695407+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 01:48:10.858173+00:00,2026-03-04 07:18:10.858173+00:00,Market Area,47,47,0.0,1.0
2026-03-04 03:57:51.895932+00:00,2026-03-04 09:27:51.895932+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 03:57:52.281828+00:00,2026-03-04 09:27:52.281828+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 03:57:52.474049+00:00,2026-03-04 09:27:52.474049+00:00,Market Area,47,47,0.0,1.0
2026-03-04 05:06:17.899393+00:00,2026-03-04 10:36:17.899393+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 05:06:18.465909+00:00,2026-03-04 10:36:18.465909+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 05:06:18.704907+00:00,2026-03-04 10:36:18.704907+00:00,Market Area,47,47,0.0,1.0
2026-03-04 05:57:44.941434+00:00,2026-03-04 11:27:44.941434+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 05:57:45.368829+00:00,2026-03-04 11:27:45.368829+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 05:57:45.530322+00:00,2026-03-04 11:27:45.530322+00:00,Market Area,47,47,0.0,1.0
2026-03-04 06:41:01.161821+00:00,2026-03-04 12:11:01.161821+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 06:41:01.601069+00:00,2026-03-04 12:11:01.601069+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 06:41:01.745945+00:00,2026-03-04 12:11:01.745945+00:00,Market Area,47,47,0.0,1.0
2026-03-04 07:25:53.255309+00:00,2026-03-04 12:55:53.255309+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 07:25:53.674839+00:00,2026-03-04 12:55:53.674839+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 07:25:53.836453+00:00,2026-03-04 12:55:53.836453+00:00,Market Area,47,47,0.0,1.0
2026-03-04 07:55:17.837953+00:00,2026-03-04 13:25:17.837953+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 07:55:18.281762+00:00,2026-03-04 13:25:18.281762+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 07:55:18.435628+00:00,2026-03-04 13:25:18.435628+00:00,Market Area,47,47,0.0,1.0
2026-03-04 08:25:31.268014+00:00,2026-03-04 13:55:31.268014+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 08:25:31.699607+00:00,2026-03-04 13:55:31.699607+00:00,MC Road Segment,48,48,0.0,1.0
